question,contexts,ground_truth,evolution_type
为什么我们的身体和心灵会不断地发生变化？,[�它的外表而已，就认为它是常的。事实上，世间任何东西，小至原子、核子，没有一样永远保持著它的相貌，它们都在无常变化。甚至你们用杯子来装热水或冷水，温度产生变化，它会膨胀或收缩，它也在发生变化，因为我们看不到，就认为它没有变化，所以称为住。一期生灭里的‘住’使得我们产生误解，以为它是常的。所以我们要了解到一期生灭中，还有刹那生灭，我们凡夫很难感觉到这个刹那生灭，因此我们会认为有些东西是常的。有科学研究的人就会知道物质的刹那生灭。除此之外，我们的身体和心念，它们都在刹那生灭。比如你认为今天的身体和明天的是一样的，而实际上并非如此。今天你身体上的细胞跟你明天的已经是不同；今天你剃了胡子，明天摸一摸下巴，它又长出来了，所以我们的身体上的一切都在无常变化。那我们的心念呢？它也是无常变化。这个无常变化到底是否有永恒的个体存在呢？根据佛法说是没有。既是说世上没有永恒的东西，我们众生愚痴执著，认为天、地是永恒的，所以我们说天长地久。根据佛法说，我们这个娑婆世界的天地也会成、住、坏、空，它最终会毁灭，所以也是无常。因为我们感受不到，所以就认为它‘常’。\n\n根据佛法说，世间任何的东西有因必有果，所以因果的变化是无常的。],因为世间任何东西，小至原子、核子，没有一样永远保持着它的相貌，它们都在无常变化。甚至你们用杯子来装热水或冷水，温度产生变化，它就会膨胀或收缩，它也在发生着变化，因为我们看不到，就认为它没有变化，所以称为‘住’。,simple
在佛教中，一个人对四圣谛、三宝等基本教义产生疑问时，这种疑问如何影响他对修道成佛的理解？,[于诸真理常犹豫不决。历史记载二千多年前释迦牟尼佛修道成佛，解脱生死，你却认为有烦恼怎么能够解脱生死呢？对此真理产生不信的心理，称为疑。此怀疑使我们不能接受真理，并非真理不可让人怀疑，而是我们对于任何事物都存有怀疑之心，这是一种烦恼。比如我告诉你们我的俗姓是‘苏’，有人听了就相信，但有些人听了就会产生‘是不是姓苏啊？’此怀疑之心，就是他内心的一种烦恼。有再打个比方：‘美国太空人已登上月球。’有人听了就产生‘是不是真的呀？’他根本不想去寻找答案，不去了解，就直接产生怀疑，这种‘疑’的心理状态，就是烦恼。我们对某些事理，再还没有真正了解之前是可以持有怀疑的态度。当我们真正彻底明了后，就能接受、相信它，这种怀疑的态度佛法可接受。\n\n在佛经中说：如果一个人没证悟初果，他对四圣谛、三宝多少会有疑问。这疑问我们可以保留，但因此而妨碍我们证悟初果。有些人说他对某种修行方法深信不疑，但经过一段长时间的修行后，如果没有证悟，就会生起疑问，怀疑起来。这并不表示当初他对某修行法门没有怀疑，而是他的疑心被信心遮盖住。‘疑心’是一个很深的烦恼，它是根本烦恼之一。例如：有人对‘四念处’这个修行法有信�],在佛教中，一个人对四圣谛、三宝等基本教义产生疑问时，这种疑问可以保留，但因此而妨碍我们证悟初果。有些人说他对自己某种修行方法深信不疑，但经过一段时间的修行后，如果没有证悟，就会生起疑问，怀疑起来。这并不表示当初他对某修行法门没有怀疑，而是他的疑心被信心遮盖住。‘疑心’是一个很深的烦恼，它是根本烦恼之一。,simple
什么是情绪混淆，以及它如何影响我们对事物的理解和判断？,[对方有一些缺点，结果有时贪爱他，有时又嗔恨他，但贪爱与嗔恨的部分是不一样的。两种心情混在一起时，他就搞糊涂了，到底我是爱那个人呢？还是恨那个人？所以贪爱与嗔恨之心决不会同时生起，但贪爱与嗔恨之间，取舍不定时，则产生愚痴。\n\n（三）、痴：既是无明，于诸事理迷惑，是非不明，事理无知。对四圣谛、三宝的实、德、能（真实、功德、自能修成），不能信受。既是说对于真理的实、三宝的功德、自己与他人能修行解脱，这三件事情迷惑，没有信心；或是对一件事不知分辨对与错，这都是愚痴。比如说你爱某人，是爱他的优点与美德；你嗔某人，是讨厌他的缺点。这使你混淆，把两件事当作一件事，不知是对或是错，不能明辨是非，就产生愚痴。实际上世间的种种事物是不可能十全十美的，但你要美满、美好，好的你要，坏的你不要，好坏在一起时，不能分辨是非，而产生不知取舍，结果不知如何是好，这就是愚痴。\n\n我们对事理不明白，不知晓，这也可说是愚痴。当我们愚痴时，往往会做出各种傻事，比如看到人受病苦的折磨，我们可怜他，认为反正他是要死了，不如把他人道毁灭，让他早日解脱，这就是愚痴。因为我们不明白病苦中有因果业报，决不会因�],情緒混亂是指當兩種心情混在一起時，他就搞糊塗了，到底我是愛那個人呢？還是恨那個人？所以貪愛與瞋恨之心決不會同時生起，但貪愛與瞋恨之間，取捨不定時，則產生愚痴。,simple
在唯识宗的八识体系中，“识蕴”是什么概念？,[�住的时候，心多数就不会注意到眼睛所看的景物。但是根、尘接触的时候，心有时会同时、同境注意，有时候不会；比如说，我们坐在那儿看书，看到入神时，外面有声音在耳朵那里作用，我们却不知道；那就是根、尘接触时，心当时不在耳根，也不在外境（声音）那儿作用，耳识就不生起来，耳边有什么声音，就没听到了。所以我们要明白，内心、六根与外境的作用有这样的区别。\n\n（五）、识蕴\n\n很多识蕴聚合在一起，称为识蕴。依唯识宗说：识可分为八种，称为心王。前面六种：眼、耳、鼻、舌、身、意是属于了别的作用，故称为识。识是依根缘外尘了别外境。\n\n（１）、了别与分别的不同：\n\n了别的意思是：我们的心第一念知觉所对的境，没有加任何的语言去称呼它，称为了别；分别是在了别以后，我们的心对于外境进一步加于名言的了解。比如你坐在这里听我说法，听到我的声音，知道我的声音是男人的声音吗，知道。但是当时你有没有加语言去分别？没有，对吗？所以我每讲一句话，你都知道是广超师的声音，是男人的声音，但是你不必去想它，只是知道而已，这种知道的作用称为了别。但是当我提起我的声音是男人的声音时，你就去想：男人的声音是低沉的，与女声不同；过后],“识蕴”这一概念指的是多种感知的组合。根据唯识宗的理论，它可以分为八种类型，被称为心王。前六种类型：眼、耳、鼻、舌、身、意被视为独立的功能，因此被称为“识”。这些感知基于根和外尘，与其他环境相区别。,simple
在五蕴中，触是如何与心和境接触后产生受、想、行的？,[根是我们的识依靠它来知道外境。心与境接触的时候，那个接触的心理称为触。触当时能知外境的是识，心、境接触之后，就会连续的生起受、想、行。过后苦、乐、舍三种受即生起。同时心构画种种的形相。而且给它们种种名称，此既是所谓的想。我们安立名言后，加上烦恼，就生起善、恶之心，甚至发动身、口、意去造业，这就是五蕴－－色、受、想、行、识之间的关系。我们的生命就是这样一直连续不断的活动。\n\n六、五蕴的真相：\n\n五蕴的真相是无常、苦、空、无我。因为五蕴中的每一念都在生灭变化，故它是无常的；因为它无常，每一念生起后，终归会消灭，故苦；因为在五蕴的聚合中，任何的一个东西都不是常的，不是独立的，不是单一的，非常非一，而且没有主人，没有人控制，它一直随著因缘生灭，故无我；因为五蕴是因缘所生，因缘所生的东西没有自性，即使没有自己的性能，所谓没有自性，无自性故空。\n\n七、观察五蕴：\n\n佛陀在《五蕴譬喻经》中教导我们要怎样观察五蕴，经曰：‘观色如聚沫，受如水上泡，想如春时焰，诸行如芭蕉，诸识法如幻。’佛陀教导我们观察五蕴中的‘色’如河水冲击时形成的肮脏的泡沫，虚有其形，实无一物，保留片刻，容易破灭；‘受’�],在五蕴中，触是与心和境接触后产生受、想、行的。触当时能知外境的是识，心、境接触之后，就会连续的生起受、想、行。过后苦、乐、舍三种受即生起。同时心构画种种的形相。而且给它们种种名称，此既是所谓的想。我们安立名言后，加上烦恼，就生起善、恶之心，甚至发动身、口、意去造业，这就是五蕴——色、受、想、行、识之间的关系。,simple
什么是修禅定的三种静虑，它们如何帮助我们远离烦恼并更敏锐地观察世间？,[脱之道，这才称为禅定波罗蜜。\n\n禅定可分为三种：\n\n（1）、安住静虑：\n\n禅定古印度文称为禅那，意思既是静静的思维修行，也既是静虑。安住静虑既是安住禅定。我们有昏沉与掉举的烦恼业习，使我们的心不能敏锐的观察此世间，不容易发觉吾人心念的起落，所以要通过修禅定使他轻安，时时刻刻保持它，不生起昏沉、掉举的烦恼，这样我们才能敏锐的观察世间，不容易被迷惑。\n\n（2）、引发静虑：\n\n既是引发禅定，菩萨要给予众生利益，没有神通力，他所给予的利益是不大的；菩萨必定要认真修四禅八定，在深的禅定中可以引发种种神通，以种种的善巧方便度化、利益众生，故菩萨要修引发静虑。\n\n（3）、办事静虑：\n\n行、住、坐、卧都在定中，称为办事静虑。此种静虑也称为那伽定，既是菩萨在一切时都在定中，有此定力的菩萨则可进入世间做各种利益众生的事业。\n\n这三种静虑，使我们远离昏沉的烦恼，能更敏锐的观察世间，而生起智慧，所以禅定能生起智慧，智慧能使我们解脱，度到生死解脱的彼岸。如有人修禅定只是为了求各种神通，则不能称为禅定波罗蜜。\n\n（六）、智慧：\n\n智慧可分为世间智慧与出世间智慧。\n\n（1）、�],修禅定的三种静虑包括：（1）安住静虑，（2）引发静虑，（3）办事静虑。这些静虑帮助我们远离昏沉与掉举的烦恼，能更敏锐地观察世间，而生起智慧，所以禅定能生起智慧，智慧能使我们解脱，度到生死解脱的彼岸。如有修禅定只是为了求各种神通，则不能称为禅定波罗蜜。,simple
在上下文中，“害”指的是什么行为？,[并以粗暴言行骚扰他人，或疾言厉色的怒骂别人，使他人也苦恼。\n\n（4）、害：恼后就无悲愍及爱心，常以打杀、恐吓等侵损逼害众生。就好像他对我不仁，我就对他不义。\n\n恼与害之差别：有些人‘害’的烦恼少，被人欺负，只会在那而‘恼’罢了，即使他很苦，也不敢害人，这种人就是有良知，有慈悲心者，他没能力反抗，因为不敢害人。反之有一些人，他有害的烦恼，苦恼之后就要去对付别人，这就是由‘恼’转为‘害’；有些人很残酷，路过见到一些猫、狗等小动物，他都无缘无故地踢一脚，这是没有恼，但是有害的心理，没有慈悲心；看到蛇、蟑螂就一定要打死；看见蟑螂讨厌是因为恼、忿、恨，所以打；但是看见青蛙也要打死，那就是害的心。这世间就是有一些没有慈悲心的人，经常损害别人。\n\n（5）、嫉：即妒忌，不能忍受他人之成就、优胜而起嗔心。有些人妒忌别人的名誉、地位、财富等。妒忌别人比自己漂亮；别人的孩子比自己的聪明；别人做事有成就被赞叹，而令你生起妒忌等等。此烦恼是与他人无关，没人惹你，是自己不能忍受别人比你优越，而生起妒忌的心理。\n\n（6）、诳：虚伪的夸大，或是以言行假装有才德，为求名利来欺骗他人。比如有人问一个�],在上下文中，“害”指的是以粗暴言行骚扰他人，或疾言厉色的怒骂别人，使他人也苦恼。,simple
古代印度文献中三种冥想类型的名称是什么？,[脱之道，这才称为禅定波罗蜜。\n\n禅定可分为三种：\n\n（1）、安住静虑：\n\n禅定古印度文称为禅那，意思既是静静的思维修行，也既是静虑。安住静虑既是安住禅定。我们有昏沉与掉举的烦恼业习，使我们的心不能敏锐的观察此世间，不容易发觉吾人心念的起落，所以要通过修禅定使他轻安，时时刻刻保持它，不生起昏沉、掉举的烦恼，这样我们才能敏锐的观察世间，不容易被迷惑。\n\n（2）、引发静虑：\n\n既是引发禅定，菩萨要给予众生利益，没有神通力，他所给予的利益是不大的；菩萨必定要认真修四禅八定，在深的禅定中可以引发种种神通，以种种的善巧方便度化、利益众生，故菩萨要修引发静虑。\n\n（3）、办事静虑：\n\n行、住、坐、卧都在定中，称为办事静虑。此种静虑也称为那伽定，既是菩萨在一切时都在定中，有此定力的菩萨则可进入世间做各种利益众生的事业。\n\n这三种静虑，使我们远离昏沉的烦恼，能更敏锐的观察世间，而生起智慧，所以禅定能生起智慧，智慧能使我们解脱，度到生死解脱的彼岸。如有人修禅定只是为了求各种神通，则不能称为禅定波罗蜜。\n\n（六）、智慧：\n\n智慧可分为世间智慧与出世间智慧。\n\n（1）、�],古代印度文献中的三种冥想类型被称为安那般那（Anapanasati）、正念（Satipatthana）和禅定（Samatha）。,reasoning
"""在修习慈悲之前，当心神散乱时，第一步应该采取什么措施？""",[�不净观被和称为二甘露门，它们是要修学禅定的初步。比如说一个人修慈悲观，但心散乱，想动想西，这是很难有成就的，所以他应该先修数息观把散乱的心定下来；又如一个人的心已经有相当的定力，但是他的嗔心重，那他就应该修慈悲观。\n\n在修学禅定的过程中，我们应该去参访有学问得导师以解除疑问，请给予援助和开导或启示，亲身体验一段时期，适合我们根器的方法就是好的，不适合的就应该放弃；除非那个教导者有宿命通与他心通，他知道我们过去业的因缘，与现在贪、嗔、痴心烦恼之所在，能以正确和适合的方法教导我们，这样修习禅定就会很快有成就。如果遇不到这类导师，最好是从数息观、不净观那儿著手，然后再修四念处。\n\n声闻果与佛果\n\n一般学佛的行人，从努力修行，至因缘成熟时，就可觉悟证果。在佛教的证悟中，可分为小乘的果位与大乘的佛果。小乘的果位有四果；大乘菩萨的果位称为‘地’，菩萨十个果位称为十地，真正圆满菩萨六度万行，完成的证悟果位，称为佛果。\n\n一、声闻四果：\n\n小乘又称为声闻乘，既是听闻佛法而觉悟的人。他们之所以被称为小乘人，是因为他们心量小，只求自己解脱。佛教的主要目标，是要‘上求佛道，下],在练习慈悲之前，当心灵散乱时，首先要采取的步骤是通过练习正念来培养一个平静且专注的心，以稳定散乱的心灵。,reasoning
当一个人摆脱所有幻觉，超越语言解释时，会出现什么境界？,[�。为什么呢？那是因为他离一切‘妄想’。‘妄想’就是众生种种的心念，根据佛法说我们众生从出世到现在都在妄想中，这些妄想告诉我们世间种种的事情。比如刚才所讲的‘雨水’，你认为天上有雨水落下，这就是妄想，实际上只不过是某种因缘形成‘水’从天上掉下来，并没有雨水，雨水只不过是一个名称罢了；进一步说‘水’也是一个名称。我们在名称里面生起种种妄想，所以当一个人没有种种妄想之后，就不会认为有雨水掉下来，那时候他内心归于平静，称为寂静，所以涅槃是离一切妄想。一切妄想都包括在语言当中，凡夫执著语言，依据种种名称，分别种种事物，是我们坠入种种语言、事物当中。因为涅槃是离开妄想，不在语言范围里面，所以涅槃不可以用语言来阐释。《法华经》上说：‘诸法寂灭相，不可义言宣。’既是此意。\n\n虽然没有证悟涅槃的人，但是凡夫的我们还是要依赖语言来了解它，结果佛陀慈悲，巧妙的运用语言来告诉我们，有所谓证悟涅槃的圣者，他们是：\n\n佛陀－－证悟无上正等正觉得觉者。\n\n菩萨－－证悟到无生法忍、无住涅槃的圣者。\n\n辟支佛－－证悟涅槃的圣者。\n\n佛陀运用语言宣说这些值得我们学习的圣者，但是学佛者千万不要执著有�],当一个人摒弃所有妄念时所达到的状态，被称为宁静或静谧。,reasoning
" ""在修行过程中，如何通过特定的禅定方法克服欲望界的多重欲望，进而达到清净界的状态？""\noutput: ""修行中，怎样用特定禅定法克服多重欲望，达清净界？","[有一定的次序。有些人可以不必受戒就修定，而且修出成绩来，那是因为他有宿世善根，一般人还是要按照戒、定、慧的次序来修。那么，什么是禅定呢？\n\n禅定是由梵文（Ｄｈｙａｎａ）翻译过来的，音译是禅那，意思是静虑：既是心定下来观察思维；也就是以所观的境，令心专注不散，称为‘定’；‘观’既是作种种的观行。禅定包含‘止’和‘观’，‘止’（Ｓａｍａｔｈａ）和‘观’（Ｖｉｐａｓｙａｎａ）都是由梵文翻译过来的。一个人修任何的禅定，一定离不了止和观，不然的话，他修的禅定会偏向外道。\n\n佛陀说我们这个世间可分成三界：欲界、色界和无色界。欲界有种种欲望，且没有定心；色界和无色界都要依靠定力进入。我们在欲界里修禅定，其中一个目的就是要离欲界而进入四禅八定，乃至进入灭尽定。\n\n我们要进入四禅八定之前，必须先修习一些在欲界里的基本的定，真正来讲有欲界定和未来禅两种。修欲界定先要坐禅，再坐禅的过程中，我们可依心态的不同而分成几个步骤：\n\n（一）、粗心住：\n\n开始静坐的人，心很散乱，越做杂念越多，控制不了；同时坐得腰酸骨痛，身体不正直，歪来歪去，因为平时我们的身, ，这四种定都是要一层一层的进入，已经出了色界，称为‘无色界定’。在佛法中我们将这个世间分为三界，又称为九地，既是欲界称为散地；色界和无色界称为定地，要进入此二界，必定要依靠禅定；但是在欲界中，比如要进入兜率天、忉利天等就不须靠定力，只要积极努力的修集各种的福德因缘即可。\n\n二、简介修习禅定之方法：\n\n根据南传的《清净道论》中共有四十种修习禅定方法，它们是：十遍、十不净、十随念、四梵住（四无量心）、四无色、一想和一差别。修习禅定应从数息入手，比较稳当；因为各种禅定的修行适合不同根器的众生，比如修不净观，能够破除淫欲，但是有些人嗔心重，修不净观到一个时期后，会对身体产生厌恶的心理，结果想自杀，这种人就不适合修不净观。所以修习各种禅定的方法应该根据个人的烦恼所在而修，并不是人人都能够修习相同的方法。但是其中两种禅定方法，比较适合大多数的众生，它们是不净观与数息观。\n\n我们的心很散乱，坐禅时数呼出吸入的气息，慢慢降服我们的散乱心而进入定；我们是烦恼重的欲界众生，要修禅定进入色界，就要舍离欲界的种种欲望，而在此中最严重的烦恼是色欲，所以我们应该修不净观来对治它，所以数息观�]",在修行过程中，通过特定的禅定方法克服欲界的多重欲望，进而达到清净界的状态，应修不净观来对治它，所以数息观。,multi_context
" ""为什么菩萨需要修引发静虑以利益众生？",[脱之道，这才称为禅定波罗蜜。\n\n禅定可分为三种：\n\n（1）、安住静虑：\n\n禅定古印度文称为禅那，意思既是静静的思维修行，也既是静虑。安住静虑既是安住禅定。我们有昏沉与掉举的烦恼业习，使我们的心不能敏锐的观察此世间，不容易发觉吾人心念的起落，所以要通过修禅定使他轻安，时时刻刻保持它，不生起昏沉、掉举的烦恼，这样我们才能敏锐的观察世间，不容易被迷惑。\n\n（2）、引发静虑：\n\n既是引发禅定，菩萨要给予众生利益，没有神通力，他所给予的利益是不大的；菩萨必定要认真修四禅八定，在深的禅定中可以引发种种神通，以种种的善巧方便度化、利益众生，故菩萨要修引发静虑。\n\n（3）、办事静虑：\n\n行、住、坐、卧都在定中，称为办事静虑。此种静虑也称为那伽定，既是菩萨在一切时都在定中，有此定力的菩萨则可进入世间做各种利益众生的事业。\n\n这三种静虑，使我们远离昏沉的烦恼，能更敏锐的观察世间，而生起智慧，所以禅定能生起智慧，智慧能使我们解脱，度到生死解脱的彼岸。如有人修禅定只是为了求各种神通，则不能称为禅定波罗蜜。\n\n（六）、智慧：\n\n智慧可分为世间智慧与出世间智慧。\n\n（1）、�],菩萨需要修引发静虑以利益众生，因为菩萨要给予众生利益，没有神通力，他所给予的利益是不大的；菩萨必定要认真修四禅八定，在深的禅定中可以引发种种神通，以种种的善巧方便度化、利益众生，故菩萨要修引发静虑。,simple
 如何通过经验的累积形成想蕴？,[�安立种种的名称，既是所谓名相的安立。这个名相是众生主观的安立，而在这名相中执著有一个实有的个体。我们以‘山’来做例子，眼睛看到一堆沙土，就看到‘山’的这个形色，那个颜色的形状多次的出现在眼前、过后，心确定有‘山’的形相存在，认为实在有这样的东西，就开始构画种种相状。接著给此相状的物体名字，称它为‘山’。过后却颠倒过来，不知道‘山’的实体，是因为有这样的形状，我们把它称为‘山’罢了。从此以后，我们一件到这样的形状，就执著生起‘山’的‘想’，这就是所谓的想蕴。所以这个想蕴并不是一次得来，而是累积了多次的经验后得到的。在举一个例子：当一个人出世后，没有看过下雨，母亲把他抱到外面，看到雨水纷纷落下，他根本不知道那是‘雨’，也不知道那是什么回事，看了又看，慢慢的就认定世间有这样东西，会从天上掉下来，后来他从大人那儿学习到那是‘雨水’，结果以后他就执著，认为这个世间真的有‘雨水’，这就是想的作用。\n\n想蕴跟受一样，也是从六根而来。眼睛接触的境所生的这个想，既是颜色的相貌，称为色相；耳朵分别声音的相貌；鼻子分别气味的相貌；舌头分别味道的相貌；身体分别接触的相貌�],通过多次的经验累积，例如看到某种形状多次后，心确定有该形相存在，并开始构画种种相状，然后给此相状的物体命名。随着时间的推移，我们会对这样的形状产生执著，形成特定的‘想’，这就是想蕴的形成过程。,simple
 佛陀如何运用智慧来无碍地了解过去世的一切法？,[，常度一切众生，无有休息，是名精进无减。\n\n（9）、念无减：佛陀时时刻刻都在正念中，是名念无减。\n\n（10）、慧无减：佛陀具一切智慧，无时无刻不再观照智慧中，是名慧无减。\n\n（11）、解脱无减：佛陀时时刻刻都处在解脱之中，是名解脱无减。阿罗汉有时还会生起‘苦’的感受。\n\n（12）、解脱知见无减：知道一切修行解脱之方法与道理，是名解脱知见无减。\n\n（13）、一切身业随智慧行：佛陀现三十二种好相，八十随形好，调伏众生，以智慧演说一切诸法，教化众生使其解脱证果，是名一切身业随智慧行。\n\n（14）、一切口业随智慧行：佛陀以微妙清净之语随智而转，化导利益一切众生，是名一切口业随智慧行。\n\n（15）、一切意业随智慧行：佛陀以清净之意业，随智慧说种种法，灭除众生的无名迷惑，是名一切意业随智慧行。佛陀无时无刻都用智慧度化众生；阿罗汉进入灭尽定后就没用智慧度化众生了。\n\n（16）、智慧知过去世无碍：佛陀以智慧照知过去所有一切法，悉能遍知而无碍，是名智慧知过去世无碍。\n\n（17）、智慧知未来世无碍：佛陀以智慧照知未来世所有一切，悉能遍知而无碍，是名智慧知未来世无碍。\n\n（18）、],佛陀以智慧照知过去所有一切法，悉能遍知而无碍，是名智慧知过去世无碍。,simple
" ""在十二因缘中，无明的定义是什么，以及它如何影响我们的行为和业报？",[��升起，而造成另一个因缘也生起，故佛经中常说：‘此有故彼有，此灭故彼灭。’这句话的意思是：有这样的东西生起，所以另外一样东西也跟著生起；有这样的东西消灭，另外一样东西也跟著消灭。\n\n一、十二因缘三世二重因果：\n\n第一重因果：过去因到现在果。\n\n过去因：无明是过去迷惑。\n\n行是过去造业。\n\n（1）、无明：我们迷惑无知，对善恶因果不明白，于佛、法、僧三宝不明白，也不知不觉，这就称为‘无明’。在十二因缘中的‘无明’是过去世烦恼的总称。\n\n（2）、行：因为无明使我们迷惑，发动心驱使身，口，意造业，此称为‘行’。此造作产生将来的果报，既是我们今世所受的善恶诸业的果报，所以‘行’就是业报，使我们投胎轮回生死。现在果：识、名色、六入、触、受是现在苦果。\n\n（3）、识：众生前生死时，名色（精神与物质）的活动散灭，而转成另一系列的精神活动。好像前世是人，死后转生为乌龟，那做人的精神活动就灭，转变成为乌龟的精神活动。因惑业导致，此‘识’重新入胎。此‘识’与前六识（眼、耳、鼻、舌、身、意）不同，在此处特别指入胎的‘识’。在南传佛教只说为‘识’，但大成佛教的唯识宗说是第八识－－阿赖耶识。我们死后，生前的名色散掉],在十二因缘中，无明是过去世烦恼的总称，指的是我们对善恶因果不明白，对佛、法、僧三宝不明白，也不知不觉。因为无明使我们迷惑，发动心驱使身、口、意造业，此称为‘行’。此造作产生将来的果报，即是我们今世所受的善恶诸业的果报，所以‘行’就是业报，使我们投胎轮回生死。,simple
" ""为什么有些人会因为妒忌心理而不能忍受他人的成就或优越？",[并以粗暴言行骚扰他人，或疾言厉色的怒骂别人，使他人也苦恼。\n\n（4）、害：恼后就无悲愍及爱心，常以打杀、恐吓等侵损逼害众生。就好像他对我不仁，我就对他不义。\n\n恼与害之差别：有些人‘害’的烦恼少，被人欺负，只会在那而‘恼’罢了，即使他很苦，也不敢害人，这种人就是有良知，有慈悲心者，他没能力反抗，因为不敢害人。反之有一些人，他有害的烦恼，苦恼之后就要去对付别人，这就是由‘恼’转为‘害’；有些人很残酷，路过见到一些猫、狗等小动物，他都无缘无故地踢一脚，这是没有恼，但是有害的心理，没有慈悲心；看到蛇、蟑螂就一定要打死；看见蟑螂讨厌是因为恼、忿、恨，所以打；但是看见青蛙也要打死，那就是害的心。这世间就是有一些没有慈悲心的人，经常损害别人。\n\n（5）、嫉：即妒忌，不能忍受他人之成就、优胜而起嗔心。有些人妒忌别人的名誉、地位、财富等。妒忌别人比自己漂亮；别人的孩子比自己的聪明；别人做事有成就被赞叹，而令你生起妒忌等等。此烦恼是与他人无关，没人惹你，是自己不能忍受别人比你优越，而生起妒忌的心理。\n\n（6）、诳：虚伪的夸大，或是以言行假装有才德，为求名利来欺骗他人。比如有人问一个�],有些人会因为妒忌心理而不能忍受他人的成就或优越，是因为他们不能忍受别人比自己优越，如别人的名誉、地位、财富等，或者别人的孩子比自己的聪明，别人做事有成就被赞叹，而生起妒忌的心理。,simple
“十二因缘的概念如何解释业与轮回过程中自我的缺失？”,[�果报；我们总以为有一个‘我’在受果报，这是不对的；那是识、名色、六入，触等种种法在受果报。比如说：有一间亚答屋被火烧，难道是它在受果报吗？不是的。它是亚答屋的叶子，里面的木材等东西，因为加热，就燃烧起来；它燃烧后就灭了，里面没有受果报的亚答屋。由亚答叶、木板等材料组成一间被我们称为‘亚答屋’的东西；同样的，由识、名色、六入、触、受形成一系列活动，我们把它称为‘众生’，实际上没有一个实体的‘众生’在受果报。\n\n（4）、无自作用：十二因缘当中，没有一个因缘可以自己作用，必须依靠其他的因缘。好像我们的六根从胚胎来，胚胎从‘入胎的识’来，识从业报来等等，所以每一个都是靠其他的因缘生起，它不是自己在作用。\n\n（5）、从因生：因为不是自作用，也没有作者在做，故从因生。\n\n（6）、不自在：十二因缘的流转，是令我们不自在的；因缘的相生相灭，不是我们所需所要。甚至于这个爱、取也是因为过去的引发来的，里面并没有一个我要爱、我要取。\n\n（7）、托众缘转：十二因缘中的任何一支都不可以单独产生作用，它要依靠众多因缘引发，才能转来变去，所以说它需要托众缘转。\n\n（8）、无常、苦、无我：十二因缘中的每一�],“十二因缘”的概念阐释了在业与轮回过程中自我缺失的现象，指出并没有一个单一的实体或“自我”去体验业的结果。相反，它是一系列相互关联的现象（识、名色、六入、触、受）共同构成了我们所感知到的“生命”或“存在”。这些现象相互依存，因各种因缘而生起，并非自存或自运作。这种理解驳斥了有一个恒常不变的自我经历轮回并体验业果的观念。,simple
" ""在佛教中，业与业报是如何影响众生的生死轮回的？",[的我，追求死后的将来，而这样的贪爱，使我们死后将来再继续受生，称为后有爱。\n\n２、贪喜集行爱：当现前的境界出现时，我们因迷惑而执著它，称为贪喜集行爱。\n\n３、彼彼希乐爱：我们知道现前这样快乐的境界，追求将来也要有这样的境界，称为彼彼希乐爱。比如今生夫妻生活适意、恩爱，希望将来死后夫妻再结来生缘。\n\n因为这种种的爱，使到我们死后再来生死轮回。由这个贪爱的烦恼使我们产生常、乐、我、净四个颠倒。在这个贪爱之中有一个‘自体爱’，称为我执。众生对这个我执深执不舍，便无时无刻都在求生求存，求再生，求永恒的生存。因为这个贪生的欲望，使得过去、现在所造的诸业得到滋润，继续向前推动。业是过去的因，贪爱这个烦恼是现在的缘，因缘和合，我们就生生不已，一生有一生。\n\n（二）、业：我们过去及现在世所造的种种业行，它也是属于集。因为业行能集无量种众生业道于内身。\n\n（1）、业的意义：业为造作义，既是有意造作之行为称为业。业所造成之效应（果报）称为业报。此中造作之心有善、恶、无记三种，形成善、恶、无记三种业报。\n\n（2）、业的推动者：求生、求存、求再生之‘有爱’滋长意志造业，是生命能继续延续及向前迈进。（请参�],在佛教中，业与业报通过因缘和合的方式影响众生的生死轮回。业是过去的因，贪爱这个烦恼是现在的缘，因缘和合，我们就生生不已，一生有一生。业的意义是有意造作之行为，其效应（果报）称为业报。求生、求存、求再生之‘有爱’滋长意志造业，是生命能继续延续及向前迈进。,simple
